signal_key,signal_label,region,datetime,value,unit,temporality,zone,dataCenterProvider,dataCenterRegion,endpoint_used,field_used
carbon_intensity,Carbon Intensity,ca-central-1,2026-05-11 08:40:00+00:00,50.0,gCO2eq/kWh,past-range,CA-QC,,ca-central-1,carbon-intensity,carbonIntensity
carbon_intensity,Carbon Intensity,ca-central-1,2026-05-11 08:45:00+00:00,50.0,gCO2eq/kWh,past-range,CA-QC,,ca-central-1,carbon-intensity,carbonIntensity
carbon_intensity,Carbon Intensity,ca-central-1,2026-05-11 08:50:00+00:00,50.0,gCO2eq/kWh,past-range,CA-QC,,ca-central-1,carbon-intensity,carbonIntensity
carbon_intensity,Carbon Intensity,ca-central-1,2026-05-11 08:55:00+00:00,50.0,gCO2eq/kWh,past-range,CA-QC,,ca-central-1,carbon-intensity,carbonIntensity
carbon_intensity,Carbon Intensity,ca-central-1,2026-05-11 09:00:00+00:00,50.0,gCO2eq/kWh,past-range,CA-QC,,ca-central-1,carbon-intensity,carbonIntensity
carbon_intensity,Carbon Intensity,ca-central-1,2026-05-11 09:05:00+00:00,50.0,gCO2eq/kWh,past-range,CA-QC,,ca-central-1,carbon-intensity,carbonIntensity
carbon_intensity,Carbon Intensity,ca-central-1,2026-05-11 09:10:00+00:00,51.0,gCO2eq/kWh,past-range,CA-QC,,ca-central-1,carbon-intensity,carbonIntensity
carbon_intensity,Carbon Intensity,ca-central-1,2026-05-11 09:15:00+00:00,51.0,gCO2eq/kWh,past-range,CA-QC,,ca-central-1,carbon-intensity,carbonIntensity
carbon_intensity,Carbon Intensity,ca-central-1,2026-05-11 09:20:00+00:00,51.0,gCO2eq/kWh,past-range,CA-QC,,ca-central-1,carbon-intensity,carbonIntensity
carbon_intensity,Carbon Intensity,ca-central-1,2026-05-11 09:25:00+00:00,51.0,gCO2eq/kWh,past-range,CA-QC,,ca-central-1,carbon-intensity,carbonIntensity
carbon_intensity,Carbon Intensity,ca-central-1,2026-05-11 09:30:00+00:00,49.0,gCO2eq/kWh,past-range,CA-QC,,ca-central-1,carbon-intensity,carbonIntensity
carbon_intensity,Carbon Intensity,ca-central-1,2026-05-11 09:35:00+00:00,49.0,gCO2eq/kWh,past-range,CA-QC,,ca-central-1,carbon-intensity,carbonIntensity
carbon_intensity,Carbon Intensity,ca-central-1,2026-05-11 09:40:00+00:00,49.0,gCO2eq/kWh,past-range,CA-QC,,ca-central-1,carbon-intensity,carbonIntensity
carbon_intensity,Carbon Intensity,ca-central-1,2026-05-11 09:45:00+00:00,49.0,gCO2eq/kWh,past-range,CA-QC,,ca-central-1,carbon-intensity,carbonIntensity
carbon_intensity,Carbon Intensity,ca-central-1,2026-05-11 09:50:00+00:00,49.0,gCO2eq/kWh,past-range,CA-QC,,ca-central-1,carbon-intensity,carbonIntensity
carbon_intensity,Carbon Intensity,ca-central-1,2026-05-11 09:55:00+00:00,50.0,gCO2eq/kWh,past-range,CA-QC,,ca-central-1,carbon-intensity,carbonIntensity
carbon_intensity,Carbon Intensity,ca-central-1,2026-05-11 10:00:00+00:00,50.0,gCO2eq/kWh,past-range,CA-QC,,ca-central-1,carbon-intensity,carbonIntensity
carbon_intensity,Carbon Intensity,ca-central-1,2026-05-11 10:05:00+00:00,50.0,gCO2eq/kWh,past-range,CA-QC,,ca-central-1,carbon-intensity,carbonIntensity
carbon_intensity,Carbon Intensity,ca-central-1,2026-05-11 10:10:00+00:00,50.0,gCO2eq/kWh,past-range,CA-QC,,ca-central-1,carbon-intensity,carbonIntensity
carbon_intensity,Carbon Intensity,ca-central-1,2026-05-11 10:15:00+00:00,50.0,gCO2eq/kWh,past-range,CA-QC,,ca-central-1,carbon-intensity,carbonIntensity
carbon_intensity,Carbon Intensity,ca-central-1,2026-05-11 10:20:00+00:00,50.0,gCO2eq/kWh,past-range,CA-QC,,ca-central-1,carbon-intensity,carbonIntensity
carbon_intensity,Carbon Intensity,ca-central-1,2026-05-11 10:25:00+00:00,50.0,gCO2eq/kWh,past-range,CA-QC,,ca-central-1,carbon-intensity,carbonIntensity
carbon_intensity,Carbon Intensity,ca-central-1,2026-05-11 10:30:00+00:00,47.0,gCO2eq/kWh,past-range,CA-QC,,ca-central-1,carbon-intensity,carbonIntensity
carbon_intensity,Carbon Intensity,ca-central-1,2026-05-11 10:35:00+00:00,47.0,gCO2eq/kWh,past-range,CA-QC,,ca-central-1,carbon-intensity,carbonIntensity
carbon_intensity,Carbon Intensity,ca-central-1,2026-05-11 10:40:00+00:00,47.0,gCO2eq/kWh,past-range,CA-QC,,ca-central-1,carbon-intensity,carbonIntensity
carbon_intensity,Carbon Intensity,ca-central-1,2026-05-11 10:45:00+00:00,47.0,gCO2eq/kWh,past-range,CA-QC,,ca-central-1,carbon-intensity,carbonIntensity
carbon_intensity,Carbon Intensity,ca-central-1,2026-05-11 10:50:00+00:00,48.0,gCO2eq/kWh,past-range,CA-QC,,ca-central-1,carbon-intensity,carbonIntensity
carbon_intensity,Carbon Intensity,ca-central-1,2026-05-11 10:55:00+00:00,48.0,gCO2eq/kWh,past-range,CA-QC,,ca-central-1,carbon-intensity,carbonIntensity
carbon_intensity,Carbon Intensity,ca-central-1,2026-05-11 11:00:00+00:00,48.0,gCO2eq/kWh,past-range,CA-QC,,ca-central-1,carbon-intensity,carbonIntensity
carbon_intensity,Carbon Intensity,ca-central-1,2026-05-11 11:05:00+00:00,48.0,gCO2eq/kWh,past-range,CA-QC,,ca-central-1,carbon-intensity,carbonIntensity
carbon_intensity,Carbon Intensity,ca-central-1,2026-05-11 11:10:00+00:00,48.0,gCO2eq/kWh,past-range,CA-QC,,ca-central-1,carbon-intensity,carbonIntensity
carbon_intensity,Carbon Intensity,ca-central-1,2026-05-11 11:15:00+00:00,48.0,gCO2eq/kWh,past-range,CA-QC,,ca-central-1,carbon-intensity,carbonIntensity
carbon_intensity,Carbon Intensity,ca-central-1,2026-05-11 11:20:00+00:00,48.0,gCO2eq/kWh,past-range,CA-QC,,ca-central-1,carbon-intensity,carbonIntensity
carbon_intensity,Carbon Intensity,ca-central-1,2026-05-11 11:25:00+00:00,48.0,gCO2eq/kWh,past-range,CA-QC,,ca-central-1,carbon-intensity,carbonIntensity
carbon_intensity,Carbon Intensity,ca-central-1,2026-05-11 11:30:00+00:00,47.0,gCO2eq/kWh,past-range,CA-QC,,ca-central-1,carbon-intensity,carbonIntensity
carbon_intensity,Carbon Intensity,ca-central-1,2026-05-11 11:35:00+00:00,47.0,gCO2eq/kWh,past-range,CA-QC,,ca-central-1,carbon-intensity,carbonIntensity
carbon_intensity,Carbon Intensity,ca-central-1,2026-05-11 11:40:00+00:00,47.0,gCO2eq/kWh,past-range,CA-QC,,ca-central-1,carbon-intensity,carbonIntensity
carbon_intensity,Carbon Intensity,ca-central-1,2026-05-11 11:45:00+00:00,47.0,gCO2eq/kWh,past-range,CA-QC,,ca-central-1,carbon-intensity,carbonIntensity
carbon_intensity,Carbon Intensity,ca-central-1,2026-05-11 11:50:00+00:00,47.0,gCO2eq/kWh,past-range,CA-QC,,ca-central-1,carbon-intensity,carbonIntensity
carbon_intensity,Carbon Intensity,ca-central-1,2026-05-11 11:55:00+00:00,47.0,gCO2eq/kWh,past-range,CA-QC,,ca-central-1,carbon-intensity,carbonIntensity
carbon_intensity,Carbon Intensity,ca-central-1,2026-05-11 12:00:00+00:00,47.0,gCO2eq/kWh,past-range,CA-QC,,ca-central-1,carbon-intensity,carbonIntensity
carbon_intensity,Carbon Intensity,ca-central-1,2026-05-11 12:05:00+00:00,47.0,gCO2eq/kWh,past-range,CA-QC,,ca-central-1,carbon-intensity,carbonIntensity
carbon_intensity,Carbon Intensity,ca-central-1,2026-05-11 12:10:00+00:00,47.0,gCO2eq/kWh,past-range,CA-QC,,ca-central-1,carbon-intensity,carbonIntensity
carbon_intensity,Carbon Intensity,ca-central-1,2026-05-11 12:15:00+00:00,47.0,gCO2eq/kWh,past-range,CA-QC,,ca-central-1,carbon-intensity,carbonIntensity
carbon_intensity,Carbon Intensity,ca-central-1,2026-05-11 12:20:00+00:00,47.0,gCO2eq/kWh,past-range,CA-QC,,ca-central-1,carbon-intensity,carbonIntensity
carbon_intensity,Carbon Intensity,ca-central-1,2026-05-11 12:25:00+00:00,47.0,gCO2eq/kWh,past-range,CA-QC,,ca-central-1,carbon-intensity,carbonIntensity
carbon_intensity,Carbon Intensity,ca-central-1,2026-05-11 12:30:00+00:00,46.0,gCO2eq/kWh,past-range,CA-QC,,ca-central-1,carbon-intensity,carbonIntensity
carbon_intensity,Carbon Intensity,ca-central-1,2026-05-11 12:35:00+00:00,47.0,gCO2eq/kWh,past-range,CA-QC,,ca-central-1,carbon-intensity,carbonIntensity
carbon_intensity,Carbon Intensity,ca-central-1,2026-05-11 12:40:00+00:00,47.0,gCO2eq/kWh,past-range,CA-QC,,ca-central-1,carbon-intensity,carbonIntensity
carbon_intensity,Carbon Intensity,ca-central-1,2026-05-11 12:45:00+00:00,46.0,gCO2eq/kWh,past-range,CA-QC,,ca-central-1,carbon-intensity,carbonIntensity
carbon_intensity,Carbon Intensity,ca-central-1,2026-05-11 12:50:00+00:00,46.0,gCO2eq/kWh,past-range,CA-QC,,ca-central-1,carbon-intensity,carbonIntensity
carbon_intensity,Carbon Intensity,ca-central-1,2026-05-11 12:55:00+00:00,46.0,gCO2eq/kWh,past-range,CA-QC,,ca-central-1,carbon-intensity,carbonIntensity
carbon_intensity,Carbon Intensity,ca-central-1,2026-05-11 13:00:00+00:00,46.0,gCO2eq/kWh,past-range,CA-QC,,ca-central-1,carbon-intensity,carbonIntensity
carbon_intensity,Carbon Intensity,ca-central-1,2026-05-11 13:05:00+00:00,46.0,gCO2eq/kWh,past-range,CA-QC,,ca-central-1,carbon-intensity,carbonIntensity
carbon_intensity,Carbon Intensity,ca-central-1,2026-05-11 13:10:00+00:00,46.0,gCO2eq/kWh,past-range,CA-QC,,ca-central-1,carbon-intensity,carbonIntensity
carbon_intensity,Carbon Intensity,ca-central-1,2026-05-11 13:15:00+00:00,46.0,gCO2eq/kWh,past-range,CA-QC,,ca-central-1,carbon-intensity,carbonIntensity
carbon_intensity,Carbon Intensity,ca-central-1,2026-05-11 13:20:00+00:00,46.0,gCO2eq/kWh,past-range,CA-QC,,ca-central-1,carbon-intensity,carbonIntensity
carbon_intensity,Carbon Intensity,ca-central-1,2026-05-11 13:25:00+00:00,46.0,gCO2eq/kWh,past-range,CA-QC,,ca-central-1,carbon-intensity,carbonIntensity
carbon_intensity,Carbon Intensity,ca-central-1,2026-05-11 13:30:00+00:00,46.0,gCO2eq/kWh,past-range,CA-QC,,ca-central-1,carbon-intensity,carbonIntensity
carbon_intensity,Carbon Intensity,ca-central-1,2026-05-11 13:35:00+00:00,46.0,gCO2eq/kWh,past-range,CA-QC,,ca-central-1,carbon-intensity,carbonIntensity
carbon_intensity,Carbon Intensity,ca-central-1,2026-05-11 13:40:00+00:00,46.0,gCO2eq/kWh,past-range,CA-QC,,ca-central-1,carbon-intensity,carbonIntensity
carbon_intensity,Carbon Intensity,ca-central-1,2026-05-11 13:45:00+00:00,46.0,gCO2eq/kWh,past-range,CA-QC,,ca-central-1,carbon-intensity,carbonIntensity
carbon_intensity,Carbon Intensity,ca-central-1,2026-05-11 13:50:00+00:00,46.0,gCO2eq/kWh,past-range,CA-QC,,ca-central-1,carbon-intensity,carbonIntensity
carbon_intensity,Carbon Intensity,ca-central-1,2026-05-11 13:55:00+00:00,46.0,gCO2eq/kWh,past-range,CA-QC,,ca-central-1,carbon-intensity,carbonIntensity
carbon_intensity,Carbon Intensity,ca-central-1,2026-05-11 14:00:00+00:00,46.0,gCO2eq/kWh,past-range,CA-QC,,ca-central-1,carbon-intensity,carbonIntensity
carbon_intensity,Carbon Intensity,ca-central-1,2026-05-11 14:05:00+00:00,46.0,gCO2eq/kWh,past-range,CA-QC,,ca-central-1,carbon-intensity,carbonIntensity
carbon_intensity,Carbon Intensity,ca-central-1,2026-05-11 14:10:00+00:00,46.0,gCO2eq/kWh,past-range,CA-QC,,ca-central-1,carbon-intensity,carbonIntensity
carbon_intensity,Carbon Intensity,ca-central-1,2026-05-11 14:15:00+00:00,46.0,gCO2eq/kWh,past-range,CA-QC,,ca-central-1,carbon-intensity,carbonIntensity
carbon_intensity,Carbon Intensity,ca-central-1,2026-05-11 14:20:00+00:00,46.0,gCO2eq/kWh,past-range,CA-QC,,ca-central-1,carbon-intensity,carbonIntensity
carbon_intensity,Carbon Intensity,ca-central-1,2026-05-11 14:25:00+00:00,46.0,gCO2eq/kWh,past-range,CA-QC,,ca-central-1,carbon-intensity,carbonIntensity
carbon_intensity,Carbon Intensity,ca-central-1,2026-05-11 14:30:00+00:00,46.0,gCO2eq/kWh,past-range,CA-QC,,ca-central-1,carbon-intensity,carbonIntensity
carbon_intensity,Carbon Intensity,ca-central-1,2026-05-11 14:35:00+00:00,46.0,gCO2eq/kWh,past-range,CA-QC,,ca-central-1,carbon-intensity,carbonIntensity
carbon_intensity,Carbon Intensity,ca-central-1,2026-05-11 14:40:00+00:00,46.0,gCO2eq/kWh,past-range,CA-QC,,ca-central-1,carbon-intensity,carbonIntensity
carbon_intensity,Carbon Intensity,ca-central-1,2026-05-11 14:45:00+00:00,46.0,gCO2eq/kWh,past-range,CA-QC,,ca-central-1,carbon-intensity,carbonIntensity
carbon_intensity,Carbon Intensity,ca-central-1,2026-05-11 14:50:00+00:00,46.0,gCO2eq/kWh,past-range,CA-QC,,ca-central-1,carbon-intensity,carbonIntensity
carbon_intensity,Carbon Intensity,ca-central-1,2026-05-11 14:55:00+00:00,46.0,gCO2eq/kWh,past-range,CA-QC,,ca-central-1,carbon-intensity,carbonIntensity
carbon_intensity,Carbon Intensity,ca-central-1,2026-05-11 15:00:00+00:00,46.0,gCO2eq/kWh,past-range,CA-QC,,ca-central-1,carbon-intensity,carbonIntensity
carbon_intensity,Carbon Intensity,ca-central-1,2026-05-11 15:05:00+00:00,46.0,gCO2eq/kWh,past-range,CA-QC,,ca-central-1,carbon-intensity,carbonIntensity
carbon_intensity,Carbon Intensity,ca-central-1,2026-05-11 15:10:00+00:00,46.0,gCO2eq/kWh,past-range,CA-QC,,ca-central-1,carbon-intensity,carbonIntensity
carbon_intensity,Carbon Intensity,ca-central-1,2026-05-11 15:15:00+00:00,46.0,gCO2eq/kWh,past-range,CA-QC,,ca-central-1,carbon-intensity,carbonIntensity
carbon_intensity,Carbon Intensity,ca-central-1,2026-05-11 15:20:00+00:00,46.0,gCO2eq/kWh,past-range,CA-QC,,ca-central-1,carbon-intensity,carbonIntensity
carbon_intensity,Carbon Intensity,ca-central-1,2026-05-11 15:25:00+00:00,46.0,gCO2eq/kWh,past-range,CA-QC,,ca-central-1,carbon-intensity,carbonIntensity
carbon_intensity,Carbon Intensity,ca-central-1,2026-05-11 15:30:00+00:00,46.0,gCO2eq/kWh,past-range,CA-QC,,ca-central-1,carbon-intensity,carbonIntensity
carbon_intensity,Carbon Intensity,ca-central-1,2026-05-11 15:35:00+00:00,46.0,gCO2eq/kWh,past-range,CA-QC,,ca-central-1,carbon-intensity,carbonIntensity
carbon_intensity,Carbon Intensity,ca-central-1,2026-05-11 15:40:00+00:00,46.0,gCO2eq/kWh,past-range,CA-QC,,ca-central-1,carbon-intensity,carbonIntensity
carbon_intensity,Carbon Intensity,ca-central-1,2026-05-11 15:45:00+00:00,46.0,gCO2eq/kWh,past-range,CA-QC,,ca-central-1,carbon-intensity,carbonIntensity
carbon_intensity,Carbon Intensity,ca-central-1,2026-05-11 15:50:00+00:00,46.0,gCO2eq/kWh,past-range,CA-QC,,ca-central-1,carbon-intensity,carbonIntensity
carbon_intensity,Carbon Intensity,ca-central-1,2026-05-11 15:55:00+00:00,46.0,gCO2eq/kWh,past-range,CA-QC,,ca-central-1,carbon-intensity,carbonIntensity
carbon_intensity,Carbon Intensity,ca-central-1,2026-05-11 16:00:00+00:00,46.0,gCO2eq/kWh,past-range,CA-QC,,ca-central-1,carbon-intensity,carbonIntensity
carbon_intensity,Carbon Intensity,ca-central-1,2026-05-11 16:05:00+00:00,46.0,gCO2eq/kWh,past-range,CA-QC,,ca-central-1,carbon-intensity,carbonIntensity
carbon_intensity,Carbon Intensity,ca-central-1,2026-05-11 16:10:00+00:00,46.0,gCO2eq/kWh,past-range,CA-QC,,ca-central-1,carbon-intensity,carbonIntensity
carbon_intensity,Carbon Intensity,ca-central-1,2026-05-11 16:15:00+00:00,47.0,gCO2eq/kWh,past-range,CA-QC,,ca-central-1,carbon-intensity,carbonIntensity
carbon_intensity,Carbon Intensity,ca-central-1,2026-05-11 16:20:00+00:00,47.0,gCO2eq/kWh,past-range,CA-QC,,ca-central-1,carbon-intensity,carbonIntensity
carbon_intensity,Carbon Intensity,ca-central-1,2026-05-11 16:25:00+00:00,47.0,gCO2eq/kWh,past-range,CA-QC,,ca-central-1,carbon-intensity,carbonIntensity
carbon_intensity,Carbon Intensity,ca-central-1,2026-05-11 16:30:00+00:00,47.0,gCO2eq/kWh,past-range,CA-QC,,ca-central-1,carbon-intensity,carbonIntensity
carbon_intensity,Carbon Intensity,ca-central-1,2026-05-11 16:35:00+00:00,47.0,gCO2eq/kWh,past-range,CA-QC,,ca-central-1,carbon-intensity,carbonIntensity
carbon_intensity,Carbon Intensity,ca-central-1,2026-05-11 16:40:00+00:00,47.0,gCO2eq/kWh,past-range,CA-QC,,ca-central-1,carbon-intensity,carbonIntensity
carbon_intensity,Carbon Intensity,ca-central-1,2026-05-11 16:45:00+00:00,47.0,gCO2eq/kWh,past-range,CA-QC,,ca-central-1,carbon-intensity,carbonIntensity
carbon_intensity,Carbon Intensity,ca-central-1,2026-05-11 16:50:00+00:00,47.0,gCO2eq/kWh,past-range,CA-QC,,ca-central-1,carbon-intensity,carbonIntensity
carbon_intensity,Carbon Intensity,ca-central-1,2026-05-11 16:55:00+00:00,47.0,gCO2eq/kWh,past-range,CA-QC,,ca-central-1,carbon-intensity,carbonIntensity
carbon_intensity,Carbon Intensity,ca-central-1,2026-05-11 17:00:00+00:00,47.0,gCO2eq/kWh,past-range,CA-QC,,ca-central-1,carbon-intensity,carbonIntensity
carbon_intensity,Carbon Intensity,ca-central-1,2026-05-11 17:05:00+00:00,47.0,gCO2eq/kWh,past-range,CA-QC,,ca-central-1,carbon-intensity,carbonIntensity
carbon_intensity,Carbon Intensity,ca-central-1,2026-05-11 17:10:00+00:00,47.0,gCO2eq/kWh,past-range,CA-QC,,ca-central-1,carbon-intensity,carbonIntensity
carbon_intensity,Carbon Intensity,ca-central-1,2026-05-11 17:15:00+00:00,47.0,gCO2eq/kWh,past-range,CA-QC,,ca-central-1,carbon-intensity,carbonIntensity
carbon_intensity,Carbon Intensity,ca-central-1,2026-05-11 17:20:00+00:00,47.0,gCO2eq/kWh,past-range,CA-QC,,ca-central-1,carbon-intensity,carbonIntensity
carbon_intensity,Carbon Intensity,ca-central-1,2026-05-11 17:25:00+00:00,47.0,gCO2eq/kWh,past-range,CA-QC,,ca-central-1,carbon-intensity,carbonIntensity
carbon_intensity,Carbon Intensity,ca-central-1,2026-05-11 17:30:00+00:00,47.0,gCO2eq/kWh,past-range,CA-QC,,ca-central-1,carbon-intensity,carbonIntensity
carbon_intensity,Carbon Intensity,ca-central-1,2026-05-11 17:35:00+00:00,47.0,gCO2eq/kWh,past-range,CA-QC,,ca-central-1,carbon-intensity,carbonIntensity
carbon_intensity,Carbon Intensity,ca-central-1,2026-05-11 17:40:00+00:00,47.0,gCO2eq/kWh,past-range,CA-QC,,ca-central-1,carbon-intensity,carbonIntensity
carbon_intensity,Carbon Intensity,ca-central-1,2026-05-11 17:45:00+00:00,47.0,gCO2eq/kWh,past-range,CA-QC,,ca-central-1,carbon-intensity,carbonIntensity
carbon_intensity,Carbon Intensity,ca-central-1,2026-05-11 17:50:00+00:00,47.0,gCO2eq/kWh,past-range,CA-QC,,ca-central-1,carbon-intensity,carbonIntensity
carbon_intensity,Carbon Intensity,ca-central-1,2026-05-11 17:55:00+00:00,47.0,gCO2eq/kWh,past-range,CA-QC,,ca-central-1,carbon-intensity,carbonIntensity
carbon_intensity,Carbon Intensity,ca-central-1,2026-05-11 18:00:00+00:00,47.0,gCO2eq/kWh,past-range,CA-QC,,ca-central-1,carbon-intensity,carbonIntensity
carbon_intensity,Carbon Intensity,ca-central-1,2026-05-11 18:05:00+00:00,47.0,gCO2eq/kWh,past-range,CA-QC,,ca-central-1,carbon-intensity,carbonIntensity
carbon_intensity,Carbon Intensity,ca-central-1,2026-05-11 18:10:00+00:00,47.0,gCO2eq/kWh,past-range,CA-QC,,ca-central-1,carbon-intensity,carbonIntensity
carbon_intensity,Carbon Intensity,ca-central-1,2026-05-11 18:15:00+00:00,47.0,gCO2eq/kWh,past-range,CA-QC,,ca-central-1,carbon-intensity,carbonIntensity
carbon_intensity,Carbon Intensity,ca-central-1,2026-05-11 18:20:00+00:00,47.0,gCO2eq/kWh,past-range,CA-QC,,ca-central-1,carbon-intensity,carbonIntensity
carbon_intensity,Carbon Intensity,ca-central-1,2026-05-11 18:25:00+00:00,47.0,gCO2eq/kWh,past-range,CA-QC,,ca-central-1,carbon-intensity,carbonIntensity
carbon_intensity,Carbon Intensity,ca-central-1,2026-05-11 18:30:00+00:00,48.0,gCO2eq/kWh,past-range,CA-QC,,ca-central-1,carbon-intensity,carbonIntensity
carbon_intensity,Carbon Intensity,ca-central-1,2026-05-11 18:35:00+00:00,48.0,gCO2eq/kWh,past-range,CA-QC,,ca-central-1,carbon-intensity,carbonIntensity
carbon_intensity,Carbon Intensity,ca-central-1,2026-05-11 18:40:00+00:00,48.0,gCO2eq/kWh,past-range,CA-QC,,ca-central-1,carbon-intensity,carbonIntensity
carbon_intensity,Carbon Intensity,ca-central-1,2026-05-11 18:45:00+00:00,48.0,gCO2eq/kWh,past-range,CA-QC,,ca-central-1,carbon-intensity,carbonIntensity
carbon_intensity,Carbon Intensity,ca-central-1,2026-05-11 18:50:00+00:00,48.0,gCO2eq/kWh,past-range,CA-QC,,ca-central-1,carbon-intensity,carbonIntensity
carbon_intensity,Carbon Intensity,ca-central-1,2026-05-11 18:55:00+00:00,48.0,gCO2eq/kWh,past-range,CA-QC,,ca-central-1,carbon-intensity,carbonIntensity
carbon_intensity,Carbon Intensity,ca-central-1,2026-05-11 19:00:00+00:00,48.0,gCO2eq/kWh,past-range,CA-QC,,ca-central-1,carbon-intensity,carbonIntensity
carbon_intensity,Carbon Intensity,ca-central-1,2026-05-11 19:05:00+00:00,48.0,gCO2eq/kWh,past-range,CA-QC,,ca-central-1,carbon-intensity,carbonIntensity
carbon_intensity,Carbon Intensity,ca-central-1,2026-05-11 19:10:00+00:00,48.0,gCO2eq/kWh,past-range,CA-QC,,ca-central-1,carbon-intensity,carbonIntensity
carbon_intensity,Carbon Intensity,ca-central-1,2026-05-11 19:15:00+00:00,48.0,gCO2eq/kWh,past-range,CA-QC,,ca-central-1,carbon-intensity,carbonIntensity
carbon_intensity,Carbon Intensity,ca-central-1,2026-05-11 19:20:00+00:00,48.0,gCO2eq/kWh,past-range,CA-QC,,ca-central-1,carbon-intensity,carbonIntensity
carbon_intensity,Carbon Intensity,ca-central-1,2026-05-11 19:25:00+00:00,48.0,gCO2eq/kWh,past-range,CA-QC,,ca-central-1,carbon-intensity,carbonIntensity
carbon_intensity,Carbon Intensity,ca-central-1,2026-05-11 19:30:00+00:00,48.0,gCO2eq/kWh,past-range,CA-QC,,ca-central-1,carbon-intensity,carbonIntensity
carbon_intensity,Carbon Intensity,ca-central-1,2026-05-11 19:35:00+00:00,48.0,gCO2eq/kWh,past-range,CA-QC,,ca-central-1,carbon-intensity,carbonIntensity
carbon_intensity,Carbon Intensity,ca-central-1,2026-05-11 19:40:00+00:00,48.0,gCO2eq/kWh,past-range,CA-QC,,ca-central-1,carbon-intensity,carbonIntensity
carbon_intensity,Carbon Intensity,ca-central-1,2026-05-11 19:45:00+00:00,48.0,gCO2eq/kWh,past-range,CA-QC,,ca-central-1,carbon-intensity,carbonIntensity
carbon_intensity,Carbon Intensity,ca-central-1,2026-05-11 19:50:00+00:00,48.0,gCO2eq/kWh,past-range,CA-QC,,ca-central-1,carbon-intensity,carbonIntensity
carbon_intensity,Carbon Intensity,ca-central-1,2026-05-11 19:55:00+00:00,48.0,gCO2eq/kWh,past-range,CA-QC,,ca-central-1,carbon-intensity,carbonIntensity
carbon_intensity,Carbon Intensity,ca-central-1,2026-05-11 20:00:00+00:00,48.0,gCO2eq/kWh,past-range,CA-QC,,ca-central-1,carbon-intensity,carbonIntensity
carbon_intensity,Carbon Intensity,ca-central-1,2026-05-11 20:05:00+00:00,48.0,gCO2eq/kWh,past-range,CA-QC,,ca-central-1,carbon-intensity,carbonIntensity
carbon_intensity,Carbon Intensity,ca-central-1,2026-05-11 20:10:00+00:00,48.0,gCO2eq/kWh,past-range,CA-QC,,ca-central-1,carbon-intensity,carbonIntensity
carbon_intensity,Carbon Intensity,ca-central-1,2026-05-11 20:15:00+00:00,48.0,gCO2eq/kWh,past-range,CA-QC,,ca-central-1,carbon-intensity,carbonIntensity
carbon_intensity,Carbon Intensity,ca-central-1,2026-05-11 20:20:00+00:00,48.0,gCO2eq/kWh,past-range,CA-QC,,ca-central-1,carbon-intensity,carbonIntensity
carbon_intensity,Carbon Intensity,ca-central-1,2026-05-11 20:25:00+00:00,48.0,gCO2eq/kWh,past-range,CA-QC,,ca-central-1,carbon-intensity,carbonIntensity
carbon_intensity,Carbon Intensity,ca-central-1,2026-05-11 20:30:00+00:00,47.0,gCO2eq/kWh,past-range,CA-QC,,ca-central-1,carbon-intensity,carbonIntensity
carbon_intensity,Carbon Intensity,ca-central-1,2026-05-11 20:35:00+00:00,47.0,gCO2eq/kWh,past-range,CA-QC,,ca-central-1,carbon-intensity,carbonIntensity
carbon_intensity,Carbon Intensity,ca-central-1,2026-05-11 20:40:00+00:00,47.0,gCO2eq/kWh,past-range,CA-QC,,ca-central-1,carbon-intensity,carbonIntensity
carbon_intensity,Carbon Intensity,ca-central-1,2026-05-11 20:45:00+00:00,47.0,gCO2eq/kWh,past-range,CA-QC,,ca-central-1,carbon-intensity,carbonIntensity
carbon_intensity,Carbon Intensity,ca-central-1,2026-05-11 20:50:00+00:00,47.0,gCO2eq/kWh,past-range,CA-QC,,ca-central-1,carbon-intensity,carbonIntensity
carbon_intensity,Carbon Intensity,ca-central-1,2026-05-11 20:55:00+00:00,47.0,gCO2eq/kWh,past-range,CA-QC,,ca-central-1,carbon-intensity,carbonIntensity
carbon_intensity,Carbon Intensity,ca-central-1,2026-05-11 21:00:00+00:00,47.0,gCO2eq/kWh,past-range,CA-QC,,ca-central-1,carbon-intensity,carbonIntensity
carbon_intensity,Carbon Intensity,ca-central-1,2026-05-11 21:05:00+00:00,47.0,gCO2eq/kWh,past-range,CA-QC,,ca-central-1,carbon-intensity,carbonIntensity
